Date,Close,AdjClose,RSI14
2021-07-08,97900.0000,76992.7734,38.4693
2021-07-09,95200.0000,74869.3750,34.2458
2021-07-12,97000.0000,76284.9688,39.0500
2021-07-13,101500.0000,79823.9688,49.0686
2021-07-14,103500.0000,81396.8594,52.7833
2021-07-15,103500.0000,81396.8594,52.7833
2021-07-16,104000.0000,81790.0781,53.7612
2021-07-19,102000.0000,80217.1875,49.3580
2021-07-20,101500.0000,79823.9688,48.2931
2021-07-21,104000.0000,81790.0781,53.6748
2021-07-22,102500.0000,80610.4141,50.2925
2021-07-23,112000.0000,88081.6250,65.2345
2021-07-26,105000.0000,82576.5156,52.6708
2021-07-27,98900.0000,77779.2188,44.6083
2021-07-28,98100.0000,77150.0703,43.6643
2021-07-29,97100.0000,76363.6172,42.4549
2021-07-30,95900.0000,75419.8906,40.9878
2021-08-02,95900.0000,75419.8906,40.9878
2021-08-03,96200.0000,75655.8203,41.5732
2021-08-04,98000.0000,77071.4141,45.0927
2021-08-05,97400.0000,76599.5547,44.1383
2021-08-06,96800.0000,76127.6953,43.1546
2021-08-09,97200.0000,76442.2656,44.0498
2021-08-10,96200.0000,75655.8203,42.2581
2021-08-11,96600.0000,75970.3984,43.2524
2021-08-12,95700.0000,75262.6016,41.5199
2021-08-13,94800.0000,74554.8047,39.8030
2021-08-17,93900.0000,73847.0078,38.1061
2021-08-18,95400.0000,75026.6641,42.5057
2021-08-19,90200.0000,70937.1641,33.5913
2021-08-20,89900.0000,70701.2266,33.1592
2021-08-23,90900.0000,71487.6797,36.1093
2021-08-24,93400.0000,73453.7891,42.8948
2021-08-25,94100.0000,74004.2969,44.6669
2021-08-26,93900.0000,73847.0078,44.2444
2021-08-27,94100.0000,74004.2969,44.8066
2021-08-30,92900.0000,73060.5625,42.0660
2021-08-31,95300.0000,74948.0156,48.8097
2021-09-01,94900.0000,74633.4453,47.8108
2021-09-02,93400.0000,73453.7891,44.1610
2021-09-03,93200.0000,73296.4922,43.6821
2021-09-06,92400.0000,72667.3359,41.7329
2021-09-07,91900.0000,72274.1094,40.5160
2021-09-08,91100.0000,71644.9609,38.5778
2021-09-09,87800.0000,69049.7031,31.8163
2021-09-10,89100.0000,70072.0781,36.5353
2021-09-13,88000.0000,69206.9922,34.3678
2021-09-14,88500.0000,69600.2031,36.2200
2021-09-15,88100.0000,69285.6328,35.3603
2021-09-16,88100.0000,69285.6328,35.3603
2021-09-17,90500.0000,71173.1016,44.5235
2021-09-23,87500.0000,68813.7734,37.3887
2021-09-24,87200.0000,68577.8359,36.7544
